12/4/14,4,13:38,14.04,16.53,Cleveland; OH,AT&T,0,35.023,Mbits/s,Mbits/s
12/4/14,4,13:38,17.16,19.82,Detroit; MI,T-Mobile,0,30.591,Mbits/s,Mbits/s
12/4/14,4,13:39,21.1,18.45,Detroit; MI,T-Mobile,0,29.879,Mbits/s,Mbits/s
12/4/14,4,13:40,14.26,18.3,Cleveland; OH,AT&T,0,35.716,Mbits/s,Mbits/s
12/4/14,4,13:40,9.45,18.7,Detroit; MI,AT&T,0,35.837,Mbits/s,Mbits/s
12/4/14,4,13:41,12.15,12.77,Detroit; MI,T-Mobile,0,29.462,Mbits/s,Mbits/s
12/4/14,4,13:42,12.34,16.24,Cleveland; OH,AT&T,0,35.102,Mbits/s,Mbits/s
12/4/14,4,13:43,8.67,11.25,Detroit; MI,Comcast,0,34.303,Mbits/s,Mbits/s
12/4/14,4,13:45,5.54,14.27,Detroit; MI,Comcast,0,34.948,Mbits/s,Mbits/s
12/4/14,4,13:45,8.07,15.99,Cleveland; OH,AT&T,0,34.853,Mbits/s,Mbits/s
12/4/14,4,13:46,7.55,8.68,Detroit; MI,Comcast,0,35.485,Mbits/s,Mbits/s
12/4/14,4,13:47,6.43,9.68,Detroit; MI,Comcast,0,35.325,Mbits/s,Mbits/s
12/4/14,4,13:48,10.69,9.69,Detroit; MI,Comcast,0,37.106,Mbits/s,Mbits/s
12/4/14,4,13:49,15.58,5.03,Detroit; MI,T-Mobile,0,30.838,Mbits/s,Mbits/s
12/4/14,4,13:49,13.92,17.77,Cleveland; OH,AT&T,0,35.515,Mbits/s,Mbits/s
12/4/14,4,13:50,16.49,14.2,Detroit; MI,T-Mobile,0,32.734,Mbits/s,Mbits/s
12/4/14,4,13:51,10.41,13.08,Detroit; MI,T-Mobile,0,35.76,Mbits/s,Mbits/s
12/4/14,4,13:51,11.42,13.94,Detroit; MI,T-Mobile,0,29.196,Mbits/s,Mbits/s
12/4/14,4,13:52,11.37,8.22,Detroit; MI,T-Mobile,0,29.304,Mbits/s,Mbits/s
12/4/14,4,13:52,7.55,11.86,Detroit; MI,T-Mobile,0,31.683,Mbits/s,Mbits/s
12/4/14,4,13:53,6.89,12.68,Detroit; MI,Comcast,0,37.113,Mbits/s,Mbits/s
12/4/14,4,13:54,15.02,18.37,Cleveland; OH,AT&T,0,36.1,Mbits/s,Mbits/s
12/4/14,4,13:55,7.81,17.93,Detroit; MI,T-Mobile,0,32.161,Mbits/s,Mbits/s
12/4/14,4,13:56,8.79,14.52,Detroit; MI,T-Mobile,0,30.553,Mbits/s,Mbits/s
12/4/14,4,13:56,10.47,17.81,Detroit; MI,T-Mobile,0,32.709,Mbits/s,Mbits/s
12/4/14,4,13:57,10.46,14.55,Detroit; MI,T-Mobile,0,29.791,Mbits/s,Mbits/s
12/4/14,4,13:57,10.32,11,Detroit; MI,T-Mobile,0,32.51,Mbits/s,Mbits/s
12/4/14,4,13:58,9.23,19.66,Detroit; MI,T-Mobile,0,31.05,Mbits/s,Mbits/s
12/4/14,4,13:59,10.76,6.1,Detroit; MI,T-Mobile,0,32.058,Mbits/s,Mbits/s
12/4/14,4,13:59,13.09,12.28,Detroit; MI,T-Mobile,0,30.888,Mbits/s,Mbits/s
12/4/14,4,14:00,13.72,15.58,Detroit; MI,Comcast,0,37.142,Mbits/s,Mbits/s
